calorimeter_id,timestamp,name,description,measurement_group_id,orientation,floor_id,pipework_id,operation_info
1,2018-03-20 17:29:18.369990,C00N,"",1,180,2,3,
2,2018-03-20 17:29:18.369990,C00S,"",2,0,2,2,
3,2018-03-20 17:29:18.369990,C01N,"",3,180,3,3,
4,2018-03-20 17:29:18.369990,C01S,"",4,0,3,2,
5,2018-03-20 17:29:18.369990,C02N,"",5,180,4,3,
6,2018-03-20 17:29:18.369990,C02S,"",6,0,4,2,
7,2018-03-20 17:29:18.369990,C03N,"",7,180,5,3,
8,2018-03-20 17:29:18.369990,C03S,"",8,0,5,2,
9,2018-03-20 17:29:18.369990,C04N,"",9,180,6,3,
10,2018-03-20 17:29:18.369990,C04S,"",10,0,6,2,
11,2018-03-20 17:29:18.369990,C05N,"",11,180,7,3,
12,2018-03-20 17:29:18.369990,C05S,"",12,0,7,2,
13,2018-03-20 17:29:18.369990,C06N,"",13,180,8,3,
14,2018-03-20 17:29:18.369990,C06S,"",14,0,8,2,
15,2018-03-20 17:29:18.369990,C07N,"",15,180,9,3,
16,2018-03-20 17:29:18.369990,C07S,"",16,0,9,2,
17,2018-03-20 17:29:18.369990,C08N,"",17,180,10,3,
18,2018-03-20 17:29:18.369990,C08S,"",18,0,10,2,
19,2018-03-20 17:29:18.369990,C09N,"",19,180,11,3,
20,2018-03-20 17:29:18.369990,C09S,"",20,0,11,2,
21,2018-03-20 17:29:18.369990,C10N,"",21,180,12,3,
22,2018-03-20 17:29:18.369990,C10S,"",22,0,12,2,
23,2018-03-20 17:29:18.369990,C11N,"",23,180,13,3,
24,2018-03-20 17:29:18.369990,C11S,"",24,0,13,2,
25,2018-03-20 17:29:18.369990,C12N,"",25,180,14,3,
26,2018-03-20 17:29:18.369990,C12S,"",26,0,14,2,
29,2018-03-20 17:29:18.369990,ToplinskaPodstanica,'mjerenja na primaru',,,,0,
30,2018-03-20 17:29:18.369990,OdlazPremaB,'samo u hladjenju',,,,4,"{""nominal_flow"": {""heating"": 0.0, ""cooling"": 36.32}}"
31,2018-03-20 17:29:18.369990,OdlazPremaC,'samo ventilokonvektori',,,,1,"{""nominal_flow"": {""heating"": 21.1709, ""cooling"": 81.6779}}"
