segment_id,start_time,end_time,duration
1,2022-01-01 00:00:06.785745,2022-01-01 01:24:06.555900,0 days 01:23:59.770155
7,2022-01-01 01:27:07.069766,2022-01-01 05:46:07.389124,0 days 04:19:00.319358
40,2022-01-01 06:44:06.824480,2022-01-03 06:16:07.447513,1 days 23:32:00.623033
80,2022-01-03 08:16:05.941141,2022-01-03 08:43:07.242500,0 days 00:27:01.301359
104,2022-01-03 09:46:07.236082,2022-01-03 10:32:06.393381,0 days 00:45:59.157299
108,2022-01-03 10:35:06.729387,2022-01-03 11:02:06.266267,0 days 00:26:59.536880
131,2022-01-03 11:51:07.135132,2022-01-03 13:15:07.271901,0 days 01:24:00.136769
133,2022-01-03 13:19:06.556390,2022-01-03 15:53:06.810815,0 days 02:34:00.254425
135,2022-01-03 16:00:06.311186,2022-01-03 16:30:10.182268,0 days 00:30:03.871082
177,2022-01-03 18:30:06.874542,2022-01-03 18:47:06.546511,0 days 00:16:59.671969
183,2022-01-03 19:02:07.406316,2022-01-03 19:23:06.701667,0 days 00:20:59.295351
187,2022-01-03 19:35:06.950112,2022-01-04 06:17:06.265830,0 days 10:41:59.315718
244,2022-01-04 08:05:06.921794,2022-01-04 08:25:07.669916,0 days 00:20:00.748122
266,2022-01-04 09:43:07.586341,2022-01-04 10:00:07.256164,0 days 00:16:59.669823
464,2022-01-04 19:46:06.542651,2022-01-04 20:14:06.659607,0 days 00:28:00.116956
465,2022-01-04 20:14:06.660782,2022-01-05 05:44:05.774548,0 days 09:29:59.113766
556,2022-01-05 09:05:07.077069,2022-01-05 09:23:07.435337,0 days 00:18:00.358268
558,2022-01-05 09:28:06.854242,2022-01-05 09:45:06.399999,0 days 00:16:59.545757
587,2022-01-05 10:56:07.621882,2022-01-05 11:16:06.447805,0 days 00:19:58.825923
660,2022-01-05 15:10:07.395322,2022-01-05 15:31:06.487380,0 days 00:20:59.092058
664,2022-01-05 15:33:05.754620,2022-01-05 15:48:06.012717,0 days 00:15:00.258097
721,2022-01-05 18:11:07.006859,2022-01-05 18:34:06.675468,0 days 00:22:59.668609
733,2022-01-05 19:07:06.718090,2022-01-05 19:24:06.284448,0 days 00:16:59.566358
753,2022-01-05 20:02:07.376402,2022-01-06 05:46:06.862790,0 days 09:43:59.486388
792,2022-01-06 07:14:07.625938,2022-01-07 06:03:06.225168,0 days 22:48:58.599230
848,2022-01-07 08:30:06.332370,2022-01-07 08:50:06.964665,0 days 00:20:00.632295
857,2022-01-07 09:21:06.885119,2022-01-07 09:45:06.797278,0 days 00:23:59.912159
865,2022-01-07 10:19:06.935728,2022-01-07 16:14:07.259817,0 days 05:55:00.324089
934,2022-01-07 19:47:06.428167,2022-01-08 05:46:06.175656,0 days 09:58:59.747489
991,2022-01-08 07:55:07.402228,2022-01-08 08:29:07.494168,0 days 00:34:00.091940
993,2022-01-08 08:35:07.575398,2022-01-08 09:02:06.742916,0 days 00:26:59.167518
995,2022-01-08 09:03:07.466179,2022-01-08 09:29:06.814633,0 days 00:25:59.348454
999,2022-01-08 09:33:07.144900,2022-01-08 09:49:07.672346,0 days 00:16:00.527446
1015,2022-01-08 11:03:06.763178,2022-01-08 11:23:07.654168,0 days 00:20:00.890990
1017,2022-01-08 11:33:07.212533,2022-01-08 11:59:06.735543,0 days 00:25:59.523010
1034,2022-01-08 12:37:07.474084,2022-01-08 12:53:07.508355,0 days 00:16:00.034271
1035,2022-01-08 12:53:07.509503,2022-01-08 13:14:06.970239,0 days 00:20:59.460736
1037,2022-01-08 13:17:07.238320,2022-01-08 16:16:07.709029,0 days 02:59:00.470709
1039,2022-01-08 16:17:38.513680,2022-01-10 05:46:07.838251,1 days 13:28:29.324571
1654,2022-01-10 19:46:06.978078,2022-01-11 05:48:07.088442,0 days 10:02:00.110364
1767,2022-01-11 09:10:07.032878,2022-01-11 09:33:06.765712,0 days 00:22:59.732834
1769,2022-01-11 09:37:06.742516,2022-01-11 10:54:07.400325,0 days 01:17:00.657809
1794,2022-01-11 12:07:06.794523,2022-01-11 12:38:07.357596,0 days 00:31:00.563073
1798,2022-01-11 12:52:06.837674,2022-01-11 13:29:06.720720,0 days 00:36:59.883046
1806,2022-01-11 13:38:06.703705,2022-01-11 14:00:06.725845,0 days 00:22:00.022140
1808,2022-01-11 14:02:06.676982,2022-01-11 14:33:06.579317,0 days 00:30:59.902335
1961,2022-01-11 19:46:06.311781,2022-01-11 20:14:06.479518,0 days 00:28:00.167737
1962,2022-01-11 20:14:06.480720,2022-01-12 05:44:05.636320,0 days 09:29:59.155600
2048,2022-01-12 08:36:06.381139,2022-01-12 09:00:07.589286,0 days 00:24:01.208147
2061,2022-01-12 09:54:06.389255,2022-01-12 10:34:06.637066,0 days 00:40:00.247811
2062,2022-01-12 10:34:06.638471,2022-01-12 15:16:06.860117,0 days 04:42:00.221646
2064,2022-01-12 15:18:06.800541,2022-01-12 15:39:06.453711,0 days 00:20:59.653170
2070,2022-01-12 15:50:07.164906,2022-01-12 16:15:06.802477,0 days 00:24:59.637571
2094,2022-01-12 18:01:06.732840,2022-01-12 18:21:06.353822,0 days 00:19:59.620982
2096,2022-01-12 18:32:07.408565,2022-01-12 19:10:07.143613,0 days 00:37:59.735048
2100,2022-01-12 19:39:07.094860,2022-01-12 20:14:06.703933,0 days 00:34:59.609073
2101,2022-01-12 20:14:06.705197,2022-01-12 22:11:06.033852,0 days 01:56:59.328655
2102,2022-01-12 22:11:06.044036,2022-01-13 02:22:06.181533,0 days 04:11:00.137497
2103,2022-01-13 02:22:06.182901,2022-01-13 04:23:08.726450,0 days 02:01:02.543549
2105,2022-01-13 04:24:06.734059,2022-01-13 05:44:05.585345,0 days 01:19:58.851286
2236,2022-01-13 08:50:06.281082,2022-01-13 09:14:06.739881,0 days 00:24:00.458799
2248,2022-01-13 10:06:07.472754,2022-01-13 10:22:07.398973,0 days 00:15:59.926219
2251,2022-01-13 10:31:07.463959,2022-01-13 11:15:07.237517,0 days 00:43:59.773558
2255,2022-01-13 11:18:07.685515,2022-01-13 11:48:06.427970,0 days 00:29:58.742455
2259,2022-01-13 11:55:06.368377,2022-01-13 12:17:07.065804,0 days 00:22:00.697427
2264,2022-01-13 12:40:07.719692,2022-01-13 13:00:06.897532,0 days 00:19:59.177840
2268,2022-01-13 13:05:07.000301,2022-01-13 13:48:07.280417,0 days 00:43:00.280116
2289,2022-01-13 15:03:07.313146,2022-01-13 15:29:06.725218,0 days 00:25:59.412072
2291,2022-01-13 15:30:06.857093,2022-01-13 15:48:07.352316,0 days 00:18:00.495223
2386,2022-01-13 19:46:06.115767,2022-01-13 20:14:06.952916,0 days 00:28:00.837149
2388,2022-01-13 20:23:05.550062,2022-01-13 23:45:06.074635,0 days 03:22:00.524573
2389,2022-01-13 23:45:06.075952,2022-01-14 05:49:06.564712,0 days 06:04:00.488760
2465,2022-01-14 09:16:06.045763,2022-01-14 09:59:07.384301,0 days 00:43:01.338538
2467,2022-01-14 10:01:07.314259,2022-01-14 10:57:07.482134,0 days 00:56:00.167875
2472,2022-01-14 11:04:06.901497,2022-01-14 11:32:07.365757,0 days 00:28:00.464260
2475,2022-01-14 11:41:07.211866,2022-01-14 12:29:06.767294,0 days 00:47:59.555428
2477,2022-01-14 12:30:07.471695,2022-01-14 13:02:06.291628,0 days 00:31:58.819933
2481,2022-01-14 13:17:06.194959,2022-01-14 15:00:06.516127,0 days 01:43:00.321168
2530,2022-01-14 17:48:06.060533,2022-01-14 18:06:06.615211,0 days 00:18:00.554678
2560,2022-01-14 19:47:07.103787,2022-01-15 05:44:05.787118,0 days 09:56:58.683331
2638,2022-01-15 08:18:07.235202,2022-01-15 09:46:06.386753,0 days 01:27:59.151551
2640,2022-01-15 09:47:07.213563,2022-01-15 10:14:06.746654,0 days 00:26:59.533091
2642,2022-01-15 10:16:06.050936,2022-01-15 12:16:07.252540,0 days 02:00:01.201604
2646,2022-01-15 12:31:07.451553,2022-01-15 12:46:07.520315,0 days 00:15:00.068762
2648,2022-01-15 12:47:07.339611,2022-01-15 13:45:07.522282,0 days 00:58:00.182671
2649,2022-01-15 13:45:07.524539,2022-01-17 05:48:06.348704,1 days 16:02:58.824165
2684,2022-01-17 08:23:06.250135,2022-01-17 09:14:06.979443,0 days 00:51:00.729308
2686,2022-01-17 09:16:07.194832,2022-01-17 10:16:06.447303,0 days 00:59:59.252471
2688,2022-01-17 10:17:07.282887,2022-01-17 11:33:07.353061,0 days 01:16:00.070174
2719,2022-01-17 13:38:07.182266,2022-01-17 14:00:06.142386,0 days 00:21:58.960120
2728,2022-01-17 14:32:07.005180,2022-01-17 14:54:07.196826,0 days 00:22:00.191646
2732,2022-01-17 15:02:06.531231,2022-01-17 15:33:06.731088,0 days 00:31:00.199857
2734,2022-01-17 15:34:07.373023,2022-01-17 15:59:07.586033,0 days 00:25:00.213010
2766,2022-01-17 18:04:07.381285,2022-01-17 18:26:06.975435,0 days 00:21:59.594150
2778,2022-01-17 19:31:06.798488,2022-01-17 19:47:06.711983,0 days 00:15:59.913495
2779,2022-01-17 19:47:06.713233,2022-01-18 06:17:05.705117,0 days 10:29:58.991884
2798,2022-01-18 06:45:07.077258,2022-01-18 07:02:06.012612,0 days 00:16:58.935354
2820,2022-01-18 08:10:07.223623,2022-01-18 08:44:07.915363,0 days 00:34:00.691740
2830,2022-01-18 09:05:07.422781,2022-01-18 09:32:07.163638,0 days 00:26:59.740857
2832,2022-01-18 09:33:07.014899,2022-01-18 10:00:07.455053,0 days 00:27:00.440154
2834,2022-01-18 10:01:07.287664,2022-01-18 10:59:07.308539,0 days 00:58:00.020875
2836,2022-01-18 11:00:07.312581,2022-01-18 11:17:07.117550,0 days 00:16:59.804969
2838,2022-01-18 11:18:07.166020,2022-01-18 12:45:06.118998,0 days 01:26:58.952978
2840,2022-01-18 12:46:07.064102,2022-01-18 15:10:07.487969,0 days 02:24:00.423867
2841,2022-01-18 15:10:07.489257,2022-01-18 16:01:07.649120,0 days 00:51:00.159863
2843,2022-01-18 16:09:07.621519,2022-01-18 16:47:07.050935,0 days 00:37:59.429416
2845,2022-01-18 16:48:06.860912,2022-01-18 17:32:07.299812,0 days 00:44:00.438900
2847,2022-01-18 17:40:07.416796,2022-01-18 18:17:07.301794,0 days 00:36:59.884998
2851,2022-01-18 18:25:07.170158,2022-01-18 18:59:06.835406,0 days 00:33:59.665248
2853,2022-01-18 19:02:06.733279,2022-01-18 19:19:07.233812,0 days 00:17:00.500533
2854,2022-01-18 19:20:07.163105,2022-01-18 19:44:07.576111,0 days 00:24:00.413006
2858,2022-01-18 19:54:07.603599,2022-01-19 05:44:05.423855,0 days 09:49:57.820256
2914,2022-01-19 08:04:07.100094,2022-01-19 08:29:06.969871,0 days 00:24:59.869777
2918,2022-01-19 08:34:07.671520,2022-01-19 09:00:06.007327,0 days 00:25:58.335807
2920,2022-01-19 09:01:06.909738,2022-01-19 09:32:07.081557,0 days 00:31:00.171819
2922,2022-01-19 09:33:06.824394,2022-01-19 10:00:05.629425,0 days 00:26:58.805031
2928,2022-01-19 10:31:06.693001,2022-01-19 11:30:06.650703,0 days 00:58:59.957702
2930,2022-01-19 11:31:08.453925,2022-01-19 12:45:06.378346,0 days 01:13:57.924421
2932,2022-01-19 12:47:06.875677,2022-01-19 13:15:05.938926,0 days 00:27:59.063249
2934,2022-01-19 13:16:07.152724,2022-01-19 14:48:06.742239,0 days 01:31:59.589515
2938,2022-01-19 15:02:07.405247,2022-01-19 15:35:07.178765,0 days 00:32:59.773518
2955,2022-01-19 16:19:07.309081,2022-01-20 05:44:06.258020,0 days 13:24:58.948939
2961,2022-01-20 05:50:07.551783,2022-01-20 06:17:05.844427,0 days 00:26:58.292644
3107,2022-01-20 12:19:06.583267,2022-01-20 12:55:06.982531,0 days 00:36:00.399264
3153,2022-01-20 16:35:06.963715,2022-01-20 16:53:05.718382,0 days 00:17:58.754667
3159,2022-01-20 17:02:06.910123,2022-01-20 17:27:06.877502,0 days 00:24:59.967379
3161,2022-01-20 17:36:06.804164,2022-01-20 17:54:06.983843,0 days 00:18:00.179679
3165,2022-01-20 18:18:06.900183,2022-01-20 18:38:06.533252,0 days 00:19:59.633069
3185,2022-01-20 19:51:06.773614,2022-01-21 05:44:05.466376,0 days 09:52:58.692762
3310,2022-01-21 10:18:06.847740,2022-01-21 10:44:07.412596,0 days 00:26:00.564856
3313,2022-01-21 10:49:06.686624,2022-01-21 11:22:06.740659,0 days 00:33:00.054035
3319,2022-01-21 11:41:06.655365,2022-01-21 11:56:07.217672,0 days 00:15:00.562307
3385,2022-01-21 15:22:06.635850,2022-01-21 15:50:06.856641,0 days 00:28:00.220791
3498,2022-01-21 20:14:06.707969,2022-01-22 05:44:05.399070,0 days 09:29:58.691101
3887,2022-01-22 17:15:05.995919,2022-01-24 05:13:06.179583,1 days 11:58:00.183664
3890,2022-01-24 05:20:06.089436,2022-01-24 05:39:06.092435,0 days 00:19:00.002999
4498,2022-01-24 20:15:07.159204,2022-01-25 05:10:06.105946,0 days 08:54:58.946742
4499,2022-01-25 05:10:06.107204,2022-01-25 05:44:06.301784,0 days 00:34:00.194580
4614,2022-01-25 07:54:06.740426,2022-01-25 08:16:07.530492,0 days 00:22:00.790066
4652,2022-01-25 10:30:06.828620,2022-01-25 10:46:07.252204,0 days 00:16:00.423584
4653,2022-01-25 10:46:07.253382,2022-01-25 12:47:07.305977,0 days 02:01:00.052595
4654,2022-01-25 12:48:06.908315,2022-01-25 13:06:07.022703,0 days 00:18:00.114388
4657,2022-01-25 13:21:07.312265,2022-01-25 13:46:06.668962,0 days 00:24:59.356697
4662,2022-01-25 13:58:07.145589,2022-01-25 14:55:07.217783,0 days 00:57:00.072194
4664,2022-01-25 15:03:07.105051,2022-01-25 15:23:06.887201,0 days 00:19:59.782150
4683,2022-01-25 17:02:07.151586,2022-01-25 17:20:06.910264,0 days 00:17:59.758678
4708,2022-01-25 19:51:06.992495,2022-01-25 20:14:07.032055,0 days 00:23:00.039560
4709,2022-01-25 20:14:07.033223,2022-01-26 05:44:06.250416,0 days 09:29:59.217193
4927,2022-01-26 13:52:06.036613,2022-01-26 14:30:06.572155,0 days 00:38:00.535542
4933,2022-01-26 14:45:07.273501,2022-01-26 15:14:06.667827,0 days 00:28:59.394326
5119,2022-01-26 20:00:06.019918,2022-01-27 05:44:06.253329,0 days 09:44:00.233411
5241,2022-01-27 09:15:06.654752,2022-01-27 09:59:07.509422,0 days 00:44:00.854670
5249,2022-01-27 10:23:06.902928,2022-01-27 10:44:06.929889,0 days 00:21:00.026961
5253,2022-01-27 11:00:06.589466,2022-01-27 12:02:06.699499,0 days 01:02:00.110033
5255,2022-01-27 12:03:07.367307,2022-01-27 12:30:06.843486,0 days 00:26:59.476179
5257,2022-01-27 12:31:07.664112,2022-01-27 12:48:06.686342,0 days 00:16:59.022230
5261,2022-01-27 13:00:06.604777,2022-01-27 13:15:07.152915,0 days 00:15:00.548138
5263,2022-01-27 13:16:06.830872,2022-01-27 13:48:07.718065,0 days 00:32:00.887193
